3.548E-04 = radius(micron) ionized PAH/graphitic solid             
w(micron)   Q_ext     Q_abs     Q_sca    g=<cos>
1.603E+02 7.345E-08 7.345E-08 9.348E-20 0.00E+00
1.585E+02 7.498E-08 7.498E-08 9.778E-20 0.00E+00
1.567E+02 7.654E-08 7.654E-08 1.023E-19 0.00E+00
1.549E+02 7.813E-08 7.813E-08 1.070E-19 0.00E+00
1.531E+02 7.974E-08 7.974E-08 1.119E-19 0.00E+00
1.514E+02 8.139E-08 8.139E-08 1.170E-19 0.00E+00
1.496E+02 8.307E-08 8.307E-08 1.224E-19 0.00E+00
1.479E+02 8.478E-08 8.478E-08 1.280E-19 0.00E+00
1.462E+02 8.652E-08 8.652E-08 1.339E-19 0.00E+00
1.445E+02 8.830E-08 8.830E-08 1.401E-19 0.00E+00
1.429E+02 9.011E-08 9.011E-08 1.465E-19 0.00E+00
1.413E+02 9.196E-08 9.196E-08 1.532E-19 0.00E+00
1.396E+02 9.384E-08 9.384E-08 1.602E-19 0.00E+00
1.380E+02 9.575E-08 9.575E-08 1.676E-19 0.00E+00
1.365E+02 9.771E-08 9.771E-08 1.752E-19 0.00E+00
1.349E+02 9.970E-08 9.970E-08 1.833E-19 0.00E+00
1.334E+02 1.017E-07 1.017E-07 1.917E-19 0.00E+00
1.318E+02 1.038E-07 1.038E-07 2.004E-19 0.00E+00
1.303E+02 1.059E-07 1.059E-07 2.096E-19 0.00E+00
1.288E+02 1.080E-07 1.080E-07 2.192E-19 0.00E+00
1.274E+02 1.102E-07 1.102E-07 2.292E-19 0.00E+00
1.259E+02 1.125E-07 1.125E-07 2.397E-19 0.00E+00
1.245E+02 1.147E-07 1.147E-07 2.506E-19 0.00E+00
1.230E+02 1.170E-07 1.170E-07 2.621E-19 0.00E+00
1.216E+02 1.194E-07 1.194E-07 2.741E-19 0.00E+00
1.202E+02 1.218E-07 1.218E-07 2.866E-19 0.00E+00
1.189E+02 1.243E-07 1.243E-07 2.997E-19 0.00E+00
1.175E+02 1.267E-07 1.267E-07 3.133E-19 0.00E+00
1.161E+02 1.293E-07 1.293E-07 3.276E-19 0.00E+00
1.148E+02 1.319E-07 1.319E-07 3.426E-19 0.00E+00
1.135E+02 1.345E-07 1.345E-07 3.582E-19 0.00E+00
1.122E+02 1.372E-07 1.372E-07 3.745E-19 0.00E+00
1.109E+02 1.400E-07 1.400E-07 3.916E-19 0.00E+00
1.096E+02 1.428E-07 1.428E-07 4.094E-19 0.00E+00
1.084E+02 1.456E-07 1.456E-07 4.281E-19 0.00E+00
1.072E+02 1.485E-07 1.485E-07 4.476E-19 0.00E+00
1.059E+02 1.515E-07 1.515E-07 4.679E-19 0.00E+00
1.047E+02 1.545E-07 1.545E-07 4.892E-19 0.00E+00
1.035E+02 1.576E-07 1.576E-07 5.115E-19 0.00E+00
1.023E+02 1.608E-07 1.608E-07 5.348E-19 0.00E+00
1.012E+02 1.640E-07 1.640E-07 5.591E-19 0.00E+00
1.000E+02 1.672E-07 1.672E-07 5.845E-19 0.00E+00
9.886E+01 1.706E-07 1.706E-07 6.111E-19 0.00E+00
9.772E+01 1.740E-07 1.740E-07 6.389E-19 0.00E+00
9.661E+01 1.774E-07 1.774E-07 6.679E-19 0.00E+00
9.550E+01 1.810E-07 1.810E-07 6.983E-19 0.00E+00
9.441E+01 1.846E-07 1.846E-07 7.300E-19 0.00E+00
9.333E+01 1.883E-07 1.883E-07 7.631E-19 0.00E+00
9.226E+01 1.920E-07 1.920E-07 7.978E-19 0.00E+00
9.120E+01 1.959E-07 1.959E-07 8.340E-19 0.00E+00
9.016E+01 1.998E-07 1.998E-07 8.719E-19 0.00E+00
